Table: Heat capacity at constant pressure [IG]
Temperature {K} 	Heat capacity at constant pressure {J/K/mol} 	Uncertainty {J/K/mol} 
50	29.10	0.29
55	29.10	0.29
60	29.10	0.29
65	29.11	0.29
70	29.12	0.29
75	29.13	0.29
80	29.15	0.29
85	29.18	0.29
90	29.21	0.29
95	29.25	0.29
100	29.30	0.29
105	29.36	0.29
110	29.43	0.29
115	29.50	0.30
120	29.59	0.30
125	29.69	0.30
130	29.80	0.30
135	29.92	0.30
140	30.05	0.30
145	30.20	0.30
150	30.35	0.30
155	30.52	0.31
160	30.69	0.31
165	30.88	0.31
170	31.07	0.31
175	31.27	0.31
180	31.48	0.31
185	31.69	0.32
190	31.91	0.32
195	32.14	0.32
200	32.37	0.32
205	32.60	0.33
210	32.84	0.33
215	33.08	0.33
220	33.33	0.33
225	33.57	0.34
230	33.82	0.34
235	34.06	0.34
240	34.31	0.34
245	34.56	0.35
250	34.81	0.35
255	35.05	0.35
260	35.30	0.35
265	35.54	0.36
270	35.79	0.36
275	36.03	0.36
280	36.27	0.36
285	36.51	0.37
290	36.74	0.37
295	36.98	0.37
300	37.21	0.37
305	37.44	0.37
310	37.67	0.38
315	37.89	0.38
320	38.11	0.38
325	38.34	0.38
330	38.55	0.39
335	38.77	0.39
340	38.98	0.39
345	39.19	0.39
350	39.40	0.39
355	39.61	0.40
360	39.81	0.40
365	40.01	0.40
370	40.21	0.40
375	40.40	0.40
380	40.60	0.41
385	40.79	0.41
390	40.98	0.41
395	41.16	0.41
400	41.35	0.41
405	41.53	0.42
410	41.71	0.42
415	41.89	0.42
420	42.06	0.42
425	42.24	0.42
430	42.41	0.42
435	42.58	0.43
440	42.75	0.43
445	42.91	0.43
450	43.08	0.43
455	43.24	0.43
460	43.40	0.43
465	43.56	0.44
470	43.72	0.44
475	43.87	0.44
480	44.02	0.44
485	44.18	0.44
490	44.33	0.44
495	44.48	0.44
500	44.62	0.45
