Table: Enthalpy [IG]
Temperature {K} 	Enthalpy {kJ/mol} 	Uncertainty {kJ/mol} 
50	1.451	0.015
55	1.596	0.016
60	1.742	0.017
65	1.887	0.019
70	2.033	0.020
75	2.179	0.022
80	2.324	0.023
85	2.470	0.025
90	2.616	0.026
95	2.762	0.028
100	2.909	0.029
105	3.055	0.031
110	3.202	0.032
115	3.350	0.033
120	3.497	0.035
125	3.645	0.036
130	3.794	0.038
135	3.943	0.039
140	4.093	0.041
145	4.244	0.042
150	4.395	0.044
155	4.548	0.045
160	4.701	0.047
165	4.855	0.049
170	5.009	0.050
175	5.165	0.052
180	5.322	0.053
185	5.480	0.055
190	5.639	0.056
195	5.799	0.058
200	5.960	0.060
205	6.123	0.061
210	6.286	0.063
215	6.451	0.065
220	6.617	0.066
225	6.785	0.068
230	6.953	0.070
235	7.123	0.071
240	7.294	0.073
245	7.466	0.075
250	7.639	0.076
255	7.814	0.078
260	7.990	0.080
265	8.167	0.082
270	8.345	0.083
275	8.525	0.085
280	8.705	0.087
285	8.887	0.089
290	9.070	0.091
295	9.255	0.093
300	9.440	0.094
305	9.627	0.096
310	9.815	0.098
315	10.00	0.10
320	10.19	0.10
325	10.38	0.10
330	10.58	0.11
335	10.77	0.11
340	10.96	0.11
345	11.16	0.11
350	11.36	0.11
355	11.55	0.12
360	11.75	0.12
365	11.95	0.12
370	12.15	0.12
375	12.35	0.12
380	12.56	0.13
385	12.76	0.13
390	12.96	0.13
395	13.17	0.13
400	13.38	0.13
405	13.58	0.14
410	13.79	0.14
415	14.00	0.14
420	14.21	0.14
425	14.42	0.14
430	14.63	0.15
435	14.85	0.15
440	15.06	0.15
445	15.27	0.15
450	15.49	0.15
455	15.70	0.16
460	15.92	0.16
465	16.14	0.16
470	16.36	0.16
475	16.57	0.17
480	16.79	0.17
485	17.01	0.17
490	17.24	0.17
495	17.46	0.17
500	17.68	0.18
