Table: Isobaric coefficient of expansion [G]
Temperature {K} 	Pressure {kPa} 	Isobaric coefficient of expansion {1/K} 	Uncertainty {1/K} 
182.33	0.05	0.005484780	6.1e-8
182.33	50	0.005741	6.2e-5
186	0.05	0.005376540	5.1e-8
186	50	0.005606	5.2e-5
186	100	0.00590	0.00011
192	0.05	0.005208510	3.8e-8
192	50	0.005401	3.9e-5
192	100	0.005636	8.3e-5
192	150	0.00592	0.00014
198	0.05	0.005050660	2.9e-8
198	50	0.005216	3.0e-5
198	100	0.005408	6.2e-5
198	150	0.005631	9.9e-5
198	200	0.00589	0.00014
204	0.05	0.004902090	2.2e-8
204	50	0.005045	2.3e-5
204	100	0.005206	4.7e-5
204	150	0.005388	7.3e-5
204	200	0.00559	0.00010
204	250	0.00583	0.00014
210	0.05	0.004762020	1.7e-8
210	50	0.004886	1.8e-5
210	100	0.005024	3.6e-5
210	150	0.005175	5.6e-5
210	200	0.005343	7.8e-5
210	250	0.00553	0.00010
210	300	0.00573	0.00013
210	350	0.00596	0.00017
216	0.05	0.004629730	1.3e-8
216	50	0.004739	1.4e-5
216	100	0.004858	2.8e-5
216	150	0.004987	4.3e-5
216	200	0.005126	5.9e-5
216	250	0.005278	7.7e-5
216	300	0.005443	9.7e-5
216	350	0.00562	0.00012
216	400	0.00582	0.00015
216	450	0.00604	0.00018
222	0.05	0.004504600	1e-8
222	50	0.004601	1.1e-5
222	100	0.004705	2.2e-5
222	150	0.004816	3.3e-5
222	200	0.004935	4.5e-5
222	250	0.005062	5.9e-5
222	300	0.005198	7.3e-5
222	350	0.005345	9.0e-5
222	400	0.00550	0.00011
222	450	0.00567	0.00013
222	500	0.00586	0.00015
222	550	0.00606	0.00018
222	600	0.00627	0.00021
228	0.05	0.0043860500	8.2e-9
228	50	0.0044723	8.3e-6
228	100	0.004563	1.7e-5
228	150	0.004660	2.6e-5
228	200	0.004762	3.5e-5
228	250	0.004871	4.5e-5
228	300	0.004986	5.6e-5
228	350	0.005108	6.8e-5
228	400	0.005238	8.1e-5
228	450	0.005377	9.5e-5
228	500	0.00553	0.00011
228	550	0.00568	0.00013
228	600	0.00585	0.00015
228	650	0.00603	0.00017
228	700	0.00623	0.00020
228	750	0.00644	0.00023
234	0.05	0.0042735800	6.5e-9
234	50	0.0043507	6.5e-6
234	100	0.004432	1.3e-5
234	150	0.004516	2.0e-5
234	200	0.004606	2.8e-5
234	250	0.004699	3.5e-5
234	300	0.004798	4.4e-5
234	350	0.004902	5.2e-5
234	400	0.005012	6.2e-5
234	450	0.005127	7.2e-5
234	500	0.005249	8.3e-5
234	550	0.005378	9.6e-5
234	600	0.00552	0.00011
234	650	0.00566	0.00012
234	700	0.00581	0.00014
234	750	0.00598	0.00016
234	800	0.00615	0.00018
234	850	0.00634	0.00020
234	900	0.00654	0.00023
234	950	0.00676	0.00026
240	0.05	0.0041667300	5.1e-9
