Table: Thermal conductivity [G]
Temperature {K} 	Pressure {kPa} 	Thermal conductivity {W/m/K} 	Uncertainty {W/m/K} 
182.33	0.05	0.00956990000000	8.9e-13
183	0.05	0.00961624000000	3.1e-13
184	0.05	0.00968557000000	1e-13
185	0.05	0.00975510000000	1e-13
186	0.05	0.00982484000000	1e-13
187	0.05	0.00989477000000	2.1e-13
188	0.05	0.00996491000000	1e-13
189	0.05	0.01003520000000	1e-13
190	0.05	0.01010580000000	2.1e-13
191	0.05	0.01017650000000	1e-13
192	0.05	0.0102	0.0010
193	0.05	0.01031850000000	9.3e-13
194	0.05	0.01038970000000	8.8e-13
195	0.05	0.010461200000	3.7e-11
196	0.05	0.01053280000000	1e-13
197	0.05	0.01060460000000	8.2e-13
197	200	0.0107503	1.9e-6
198	0.05	0.01067660000000	1e-13
198	200	0.0108210	1.8e-6
199	0.05	0.01074870000000	9.3e-13
199	200	0.0108919	1.7e-6
200	0.05	0.01082100000000	1.8e-13
200	200	0.0109631	1.6e-6
201	0.05	0.0108935000000	2.1e-12
201	200	0.0110344	1.5e-6
202	0.05	0.01096610000000	1e-13
202	200	0.0111059	1.4e-6
203	0.05	0.0110	0.0011
203	200	0.0111776	1.3e-6
204	0.05	0.0111	0.0011
204	200	0.0112495	1.2e-6
205	0.05	0.01118500000000	1e-13
205	200	0.0113216	1.1e-6
206	0.05	0.0112582000000	2.1e-12
206	200	0.0113939	1.1e-6
207	0.05	0.0113	0.0011
207	200	0.01146630	1.00e-6
208	0.05	0.01140520000000	8.9e-13
208	200	0.01153890	9.4e-7
209	0.05	0.0115	0.0011
209	200	0.01161170	8.9e-7
210	0.05	0.0116	0.0012
210	200	0.01168460	8.4e-7
211	0.05	0.0116	0.0012
211	200	0.01175770	7.9e-7
212	0.05	0.01170090000000	8.2e-13
212	200	0.01183090	7.5e-7
212	400	0.0119980	4.8e-6
213	0.05	0.01177510000000	8.8e-13
213	200	0.01190440	7.1e-7
213	400	0.0120694	4.5e-6
214	0.05	0.0118	0.0012
214	200	0.01197790	6.7e-7
214	400	0.0121409	4.2e-6
215	0.05	0.0119	0.0012
215	200	0.01205160	6.3e-7
215	400	0.0122127	3.9e-6
216	0.05	0.01199870000000	1e-13
216	200	0.01212540	6e-7
216	400	0.0122848	3.7e-6
217	0.05	0.0120735000000	2.7e-12
217	200	0.01219940	5.7e-7
217	400	0.0123570	3.4e-6
218	0.05	0.01214840000000	1e-13
218	200	0.01227360	5.4e-7
218	400	0.0124294	3.2e-6
219	0.05	0.0122	0.0012
219	200	0.01234780	5.1e-7
219	400	0.0125021	3.0e-6
220	0.05	0.01229850000000	2.1e-13
220	200	0.01242220	4.9e-7
220	400	0.0125749	2.8e-6
221	0.05	0.0123738000000	2.9e-12
221	200	0.01249670	4.6e-7
221	400	0.0126479	2.7e-6
222	0.05	0.0124	0.0012
222	200	0.01257140	4.4e-7
222	400	0.0127211	2.5e-6
222	600	0.0129096	8.5e-6
223	0.05	0.012524700000	3.7e-11
223	200	0.01264620	4.2e-7
223	400	0.0127944	2.4e-6
223	600	0.0129801	7.9e-6
224	0.05	0.0126	0.0013
224	200	0.01272110	4e-7
224	400	0.0128680	2.2e-6
224	600	0.0130509	7.4e-6
225	0.05	0.0127	0.0013
225	200	0.01279610	3.8e-7
225	400	0.0129416	2.1e-6
225	600	0.0131220	6.9e-6
226	0.05	0.0127518000000	2.8e-12
226	200	0.01287120	3.6e-7
