Table: Viscosity [G]
Temperature {K} 	Pressure {kPa} 	Viscosity {Pa·s} 	Uncertainty {Pa·s} 
182.33	0.05	9.02e-6	9e-7
183	0.05	9.05165000000e-6	8.1e-16
184	0.05	9.10e-6	9.1e-7
185	0.05	9.15e-6	9.2e-7
186	0.05	9.20487000000e-6	1e-16
187	0.05	9.26e-6	9.3e-7
188	0.05	9.30705000000e-6	1e-16
189	0.05	9.3581400000e-6	1.6e-15
190	0.05	9.40924000000e-6	1e-16
191	0.05	9.46e-6	9.5e-7
192	0.05	9.51e-6	9.5e-7
193	0.05	9.56254000000e-6	1e-16
194	0.05	9.61e-6	9.6e-7
195	0.05	9.66474000000e-6	2e-16
196	0.05	9.72e-6	9.7e-7
197	0.05	9.77e-6	9.8e-7
197	200	9.86381e-6	3.1e-10
198	0.05	9.82e-6	9.8e-7
198	200	9.91419e-6	3e-10
199	0.05	9.87e-6	9.9e-7
199	200	9.96457e-6	2.8e-10
200	0.05	9.92e-6	9.9e-7
200	200	1.001500e-5	2.7e-10
201	0.05	9.97e-6	1.00e-6
201	200	1.006540e-5	2.6e-10
202	0.05	1.00e-5	1.0e-6
202	200	1.011580e-5	2.4e-10
203	0.05	1.01e-5	1.0e-6
203	200	1.016620e-5	2.3e-10
204	0.05	1.01e-5	1.0e-6
204	200	1.021660e-5	2.2e-10
205	0.05	1.02e-5	1.0e-6
205	200	1.026700e-5	2.1e-10
206	0.05	1.02e-5	1.0e-6
206	200	1.031740e-5	2e-10
207	0.05	1.03e-5	1.0e-6
207	200	1.036780e-5	1.9e-10
208	0.05	1.03e-5	1.0e-6
208	200	1.041820e-5	1.8e-10
209	0.05	1.04e-5	1.0e-6
209	200	1.046860e-5	1.7e-10
210	0.05	1.04e-5	1.0e-6
210	200	1.051900e-5	1.7e-10
211	0.05	1.05e-5	1.0e-6
211	200	1.056940e-5	1.6e-10
212	0.05	1.05e-5	1.1e-6
212	200	1.061970e-5	1.5e-10
212	400	1.071420e-5	7.4e-10
213	0.05	1.06e-5	1.1e-6
213	200	1.067010e-5	1.5e-10
213	400	1.076380e-5	7e-10
214	0.05	1.06e-5	1.1e-6
214	200	1.072050e-5	1.4e-10
214	400	1.081340e-5	6.7e-10
215	0.05	1.07e-5	1.1e-6
215	200	1.077080e-5	1.3e-10
215	400	1.086310e-5	6.4e-10
216	0.05	1.073620000000e-5	1e-16
216	200	1.082120e-5	1.3e-10
216	400	1.091270e-5	6.1e-10
217	0.05	1.078710000000e-5	1e-16
217	200	1.087150e-5	1.2e-10
217	400	1.096240e-5	5.8e-10
218	0.05	1.08e-5	1.1e-6
218	200	1.092180e-5	1.2e-10
218	400	1.101200e-5	5.5e-10
219	0.05	1.09e-5	1.1e-6
219	200	1.097220e-5	1.1e-10
219	400	1.106160e-5	5.3e-10
220	0.05	1.09e-5	1.1e-6
220	200	1.102250e-5	1.1e-10
220	400	1.111130e-5	5e-10
221	0.05	1.10e-5	1.1e-6
221	200	1.107270e-5	1e-10
221	400	1.116090e-5	4.8e-10
222	0.05	1.10e-5	1.1e-6
222	200	1.112300e-5	1e-10
222	400	1.121060e-5	4.6e-10
222	600	1.13052e-5	1.2e-9
223	0.05	1.109200000000e-5	1e-16
223	200	1.1173300e-5	9.7e-11
223	400	1.126020e-5	4.4e-10
223	600	1.13540e-5	1.2e-9
224	0.05	1.11e-5	1.1e-6
224	200	1.1223500e-5	9.3e-11
224	400	1.130980e-5	4.3e-10
224	600	1.14028e-5	1.1e-9
225	0.05	1.119340000000e-5	1e-16
225	200	1.1273800e-5	9e-11
225	400	1.135940e-5	4.1e-10
225	600	1.14517e-5	1.1e-9
226	0.05	1.12e-5	1.1e-6
226	200	1.1324000e-5	8.7e-11
226	400	1.140900e-5	3.9e-10
226	600	1.15005e-5	1e-9
227	0.05	1.13e-5	1.1e-6
227	200	1.1374200e-5	8.4e-11
227	400	1.145870e-5	3.8e-10
227	600	1.154940e-5	9.9e-10
228	0.05	1.1345500000000e-5	5.1e-17
228	200	1.1424300e-5	8.1e-11
228	400	1.150820e-5	3.6e-10
228	600	1.159820e-5	9.5e-10
229	0.05	1.139610000000e-5	1e-16
229	200	1.1474500e-5	7.8e-11
229	400	1.155780e-5	3.5e-10
229	600	1.164710e-5	9.1e-10
229	800	1.17437e-5	1.9e-9
230	0.05	1.144670000000e-5	1e-16
230	200	1.1524600e-5	7.6e-11
230	400	1.160740e-5	3.4e-10
230	600	1.169600e-5	8.7e-10
230	800	1.17917e-5	1.8e-9
231	0.05	1.15e-5	1.1e-6
231	200	1.1574800e-5	7.3e-11
231	400	1.165700e-5	3.3e-10
231	600	1.174480e-5	8.4e-10
231	800	1.18397e-5	1.7e-9
232	0.05	1.15e-5	1.2e-6
232	200	1.1624800e-5	7.1e-11
232	400	1.170650e-5	3.2e-10
232	600	1.179370e-5	8e-10
232	800	1.18877e-5	1.7e-9
233	0.05	1.16e-5	1.2e-6
233	200	1.1674900e-5	6.9e-11
233	400	1.175610e-5	3.1e-10
233	600	1.184260e-5	7.7e-10
233	800	1.19357e-5	1.6e-9
234	0.05	1.164890000000e-5	1e-16
234	200	1.1725000e-5	6.7e-11
234	400	1.180560e-5	3e-10
234	600	1.189150e-5	7.5e-10
234	800	1.19837e-5	1.5e-9
235	0.05	1.169940000000e-5	1e-16
235	200	1.1775000e-5	6.5e-11
235	400	1.185510e-5	2.9e-10
235	600	1.194030e-5	7.2e-10
235	800	1.20318e-5	1.5e-9
235	1000	1.21309e-5	2.7e-9
236	0.05	1.17e-5	1.2e-6
236	200	1.1825000e-5	6.3e-11
236	400	1.190460e-5	2.8e-10
236	600	1.198920e-5	6.9e-10
236	800	1.20799e-5	1.4e-9
236	1000	1.21780e-5	2.5e-9
237	0.05	1.18e-5	1.2e-6
