Table: Isobaric coefficient of expansion [L]
Temperature {K} 	Pressure {kPa} 	Isobaric coefficient of expansion {1/K} 	Uncertainty {1/K} 
182.33	100	0.00237	0.00014
182.33	150	0.00237	0.00014
182.33	200	0.00237	0.00014
182.33	250	0.00237	0.00014
182.33	300	0.00237	0.00014
182.33	350	0.00236	0.00014
182.33	400	0.00236	0.00014
182.33	450	0.00236	0.00014
182.33	500	0.00236	0.00014
182.33	550	0.00236	0.00014
182.33	600	0.00236	0.00014
182.33	650	0.00236	0.00014
182.33	700	0.00236	0.00014
182.33	750	0.00236	0.00014
182.33	800	0.00236	0.00014
182.33	850	0.00236	0.00014
182.33	900	0.00236	0.00014
182.33	950	0.00235	0.00014
182.33	1000	0.00235	0.00014
182.33	1050	0.00235	0.00014
182.33	1100	0.00235	0.00014
182.33	1150	0.00235	0.00014
182.33	1200	0.00235	0.00014
182.33	1250	0.00235	0.00014
182.33	1300	0.00235	0.00014
182.33	1350	0.00235	0.00014
182.33	1400	0.00235	0.00014
182.33	1450	0.00235	0.00014
182.33	1500	0.00235	0.00014
182.33	1550	0.00235	0.00014
182.33	1600	0.00234	0.00014
182.33	1650	0.00234	0.00014
182.33	1700	0.00234	0.00014
182.33	1750	0.00234	0.00014
182.33	1800	0.00234	0.00014
182.33	1850	0.00234	0.00014
182.33	1900	0.00234	0.00014
182.33	1950	0.00234	0.00014
182.33	2000	0.00234	0.00014
182.33	2050	0.00234	0.00014
182.33	2100	0.00234	0.00014
182.33	2150	0.00234	0.00014
182.33	2200	0.00233	0.00014
182.33	2250	0.00233	0.00014
182.33	2300	0.00233	0.00014
182.33	2350	0.00233	0.00014
182.33	2400	0.00233	0.00014
182.33	2450	0.00233	0.00014
182.33	2500	0.00233	0.00014
182.33	2550	0.00233	0.00014
182.33	2600	0.00233	0.00014
182.33	2650	0.00233	0.00014
182.33	2700	0.00233	0.00014
182.33	2750	0.00233	0.00014
182.33	2800	0.00233	0.00014
182.33	2850	0.00232	0.00014
182.33	2900	0.00232	0.00014
182.33	2950	0.00232	0.00014
182.33	3000	0.00232	0.00014
182.33	3050	0.00232	0.00014
182.33	3100	0.00232	0.00014
182.33	3150	0.00232	0.00014
182.33	3200	0.00232	0.00014
182.33	3250	0.00232	0.00014
182.33	3300	0.00232	0.00014
182.33	3350	0.00232	0.00014
182.33	3400	0.00232	0.00014
182.33	3450	0.00231	0.00014
182.33	3500	0.00231	0.00014
182.33	3550	0.00231	0.00014
182.33	3600	0.00231	0.00014
182.33	3650	0.00231	0.00014
182.33	3700	0.00231	0.00014
182.33	3750	0.00231	0.00014
182.33	3800	0.00231	0.00014
182.33	3850	0.00231	0.00014
182.33	3900	0.00231	0.00014
182.33	3950	0.00231	0.00014
182.33	4000	0.00231	0.00014
182.33	4050	0.00231	0.00014
182.33	4100	0.00230	0.00014
182.33	4150	0.00230	0.00014
182.33	4200	0.00230	0.00014
182.33	4250	0.00230	0.00014
182.33	4300	0.00230	0.00014
182.33	4350	0.00230	0.00014
182.33	4400	0.00230	0.00014
182.33	4450	0.00230	0.00014
182.33	4500	0.00230	0.00014
182.33	4550	0.00230	0.00014
182.33	4600	0.00230	0.00014
182.33	4650	0.00230	0.00014
182.33	4700	0.00230	0.00014
182.33	4750	0.00229	0.00014
182.33	4800	0.00229	0.00014
182.33	4850	0.00229	0.00014
182.33	4900	0.00229	0.00014
182.33	4950	0.00229	0.00014
182.33	5000	0.00229	0.00014
182.33	5050	0.00229	0.00014
182.33	5100	0.00229	0.00014
182.33	5150	0.00229	0.00014
182.33	5200	0.00229	0.00014
182.33	5250	0.00229	0.00014
182.33	5300	0.00229	0.00014
182.33	5350	0.00229	0.00014
182.33	5400	0.00228	0.00014
182.33	5450	0.00228	0.00014
182.33	5500	0.00228	0.00014
182.33	5550	0.00228	0.00014
182.33	5600	0.00228	0.00014
182.33	5650	0.00228	0.00014
182.33	5700	0.00228	0.00014
182.33	5750	0.00228	0.00014
182.33	5800	0.00228	0.00014
182.33	5850	0.00228	0.00014
182.33	5900	0.00228	0.00014
182.33	5950	0.00228	0.00014
182.33	6000	0.00228	0.00014
182.33	6050	0.00228	0.00014
182.33	6100	0.00227	0.00014
182.33	6150	0.00227	0.00014
182.33	6200	0.00227	0.00014
182.33	6250	0.00227	0.00014
182.33	6300	0.00227	0.00014
182.33	6350	0.00227	0.00014
182.33	6400	0.00227	0.00014
182.33	6450	0.00227	0.00014
182.33	6500	0.00227	0.00014
182.33	6550	0.00227	0.00014
182.33	6600	0.00227	0.00014
182.33	6650	0.00227	0.00014
182.33	6700	0.00227	0.00014
182.33	6750	0.00226	0.00014
182.33	6800	0.00226	0.00014
182.33	6850	0.00226	0.00014
182.33	6900	0.00226	0.00014
182.33	6950	0.00226	0.00014
182.33	7000	0.00226	0.00014
182.33	7050	0.00226	0.00014
182.33	7100	0.00226	0.00014
182.33	7150	0.00226	0.00014
182.33	7200	0.00226	0.00014
182.33	7250	0.00226	0.00014
182.33	7300	0.00226	0.00014
182.33	7350	0.00226	0.00014
182.33	7400	0.00226	0.00014
182.33	7450	0.00225	0.00014
182.33	7500	0.00225	0.00014
182.33	7550	0.00225	0.00014
182.33	7600	0.00225	0.00014
182.33	7650	0.00225	0.00014
182.33	7700	0.00225	0.00014
182.33	7750	0.00225	0.00014
182.33	7800	0.00225	0.00014
182.33	7850	0.00225	0.00014
182.33	7900	0.00225	0.00014
182.33	7950	0.00225	0.00014
182.33	8000	0.00225	0.00014
182.33	8050	0.00225	0.00014
182.33	8100	0.00225	0.00014
182.33	8150	0.00224	0.00014
182.33	8200	0.00224	0.00014
182.33	8250	0.00224	0.00014
182.33	8300	0.00224	0.00014
182.33	8350	0.00224	0.00014
182.33	8400	0.00224	0.00014
182.33	8450	0.00224	0.00014
182.33	8500	0.00224	0.00014
182.33	8550	0.00224	0.00014
182.33	8600	0.00224	0.00014
182.33	8650	0.00224	0.00014
182.33	8700	0.00224	0.00014
182.33	8750	0.00224	0.00014
182.33	8800	0.00224	0.00014
182.33	8850	0.00223	0.00014
182.33	8900	0.00223	0.00014
182.33	8950	0.00223	0.00014
182.33	9000	0.00223	0.00014
182.33	9050	0.00223	0.00014
182.33	9100	0.00223	0.00014
182.33	9150	0.00223	0.00014
182.33	9200	0.00223	0.00014
182.33	9250	0.00223	0.00014
182.33	9300	0.00223	0.00014
182.33	9350	0.00223	0.00014
182.33	9400	0.00223	0.00014
182.33	9450	0.00223	0.00014
182.33	9500	0.00223	0.00014
182.33	9550	0.00222	0.00014
182.33	9600	0.00222	0.00014
182.33	9650	0.00222	0.00014
182.33	9700	0.00222	0.00014
182.33	9750	0.00222	0.00014
182.33	9800	0.00222	0.00014
182.33	9850	0.00222	0.00014
182.33	9900	0.00222	0.00014
182.33	9950	0.00222	0.00014
182.33	10000	0.00222	0.00014
186	150	0.00241	0.00014
186	200	0.00241	0.00014
186	250	0.00241	0.00014
186	300	0.00241	0.00014
186	350	0.00241	0.00014
186	400	0.00241	0.00014
186	450	0.00241	0.00014
186	500	0.00241	0.00014
186	550	0.00241	0.00014
186	600	0.00241	0.00014
186	650	0.00240	0.00014
186	700	0.00240	0.00014
186	750	0.00240	0.00014
186	800	0.00240	0.00014
186	850	0.00240	0.00014
186	900	0.00240	0.00014
186	950	0.00240	0.00014
